,anomes,id_comunidade,id_release_train,id_squad,qtde_historias_totais,soma_leadtime_totais,leadtime_medio,qtde_historias_categ_software,soma_leadtime_categ_software,leadtime_medio_categ_software,qtde_historias_categ_infra,soma_leadtime_categ_infra,leadtime_medio_categ_infra,perc_hist_software,qtde_bugs_totais,qtde_bugs_cancelados,qtde_bugs_corrigidos,perc_bugs_cancelados,perc_bugs_corrigidos,dat_psst,dia_psst,ano_psst
0,202301,C02,RT01,S01,96,424.66,4.42,7,62.65,8.95,65,184.24,2.83,0.073,5,3,1,0.6,0.2,2025-07-14,14,2025
1,202301,C02,RT01,S01,33,286.07,8.67,0,5.38,0.0,22,78.2,3.55,0.0,32,28,30,0.875,0.938,2025-07-14,14,2025
2,202301,C02,RT01,S01,78,544.23,6.98,44,190.59,4.33,19,158.31,8.33,0.564,42,9,34,0.214,0.81,2025-07-14,14,2025
3,202301,C03,RT03,S02,36,250.56,6.96,2,17.4,8.7,25,157.99,6.32,0.056,34,24,15,0.706,0.441,2025-07-14,14,2025
4,202301,C03,RT03,S02,58,61.62,1.06,13,80.38,6.18,25,43.35,1.73,0.224,15,8,13,0.533,0.867,2025-07-14,14,2025
5,202301,C03,RT03,S02,90,736.15,8.18,43,386.73,8.99,42,400.44,9.53,0.478,41,22,36,0.537,0.878,2025-07-14,14,2025
6,202301,C05,RT02,S03,81,286.04,3.53,65,638.11,9.82,1,6.53,6.53,0.802,31,0,27,0.0,0.871,2025-07-14,14,2025
7,202301,C05,RT02,S03,29,192.98,6.65,10,53.98,5.4,4,38.5,9.62,0.345,13,3,11,0.231,0.846,2025-07-14,14,2025
8,202301,C05,RT02,S03,72,201.33,2.8,61,497.64,8.16,0,8.53,0.0,0.847,31,9,20,0.29,0.645,2025-07-14,14,2025
9,202301,C04,RT03,S04,91,561.44,6.17,9,70.08,7.79,10,60.67,6.07,0.099,22,22,16,1.0,0.727,2025-07-14,14,2025
10,202301,C04,RT03,S04,49,214.94,4.39,6,11.82,1.97,32,313.72,9.8,0.122,37,23,13,0.622,0.351,2025-07-14,14,2025
11,202301,C04,RT03,S04,51,100.02,1.96,15,30.59,2.04,32,194.13,6.07,0.294,33,29,0,0.879,0.0,2025-07-14,14,2025
12,202301,C01,RT01,S05,44,152.68,3.47,32,291.45,9.11,10,79.58,7.96,0.727,35,16,14,0.457,0.4,2025-07-14,14,2025
13,202301,C01,RT01,S05,10,70.13,7.01,9,54.29,6.03,1,4.96,4.96,0.9,49,16,5,0.327,0.102,2025-07-14,14,2025
14,202301,C01,RT01,S05,34,142.88,4.2,30,41.66,1.39,1,9.48,9.48,0.882,28,24,14,0.857,0.5,2025-07-14,14,2025
15,202301,C04,RT01,S06,81,409.96,5.06,40,141.87,3.55,8,15.67,1.96,0.494,40,21,39,0.525,0.975,2025-07-14,14,2025
16,202301,C04,RT01,S06,10,23.27,2.33,10,90.2,9.02,0,9.15,0.0,1.0,35,3,4,0.086,0.114,2025-07-14,14,2025
17,202301,C04,RT01,S06,32,137.9,4.31,23,138.85,6.04,8,37.63,4.7,0.719,33,4,3,0.121,0.091,2025-07-14,14,2025
18,202301,C04,RT02,S07,61,344.59,5.65,15,123.4,8.23,32,105.19,3.29,0.246,43,25,36,0.581,0.837,2025-07-14,14,2025
19,202301,C04,RT02,S07,93,627.69,6.75,52,466.58,8.97,29,169.3,5.84,0.559,43,31,35,0.721,0.814,2025-07-14,14,2025
20,202301,C04,RT02,S07,26,231.04,8.89,0,2.55,0.0,18,18.48,1.03,0.0,30,14,17,0.467,0.567,2025-07-14,14,2025
21,202301,C01,RT03,S08,60,244.52,4.08,25,62.24,2.49,22,181.14,8.23,0.417,1,1,0,1.0,0.0,2025-07-14,14,2025
22,202301,C01,RT03,S08,61,215.89,3.54,46,447.1,9.72,7,52.42,7.49,0.754,48,45,31,0.938,0.646,2025-07-14,14,2025
23,202301,C01,RT03,S08,51,262.02,5.14,35,87.23,2.49,13,114.54,8.81,0.686,8,8,0,1.0,0.0,2025-07-14,14,2025
24,202301,C04,RT01,S09,24,57.28,2.39,15,125.85,8.39,7,14.74,2.11,0.625,50,30,18,0.6,0.36,2025-07-14,14,2025
25,202301,C04,RT01,S09,97,407.36,4.2,28,155.8,5.56,68,652.23,9.59,0.289,18,3,3,0.167,0.167,2025-07-14,14,2025
26,202301,C04,RT01,S09,83,530.07,6.39,19,125.07,6.58,21,57.23,2.73,0.229,3,0,2,0.0,0.667,2025-07-14,14,2025
27,202301,C05,RT02,S10,59,395.36,6.7,56,446.31,7.97,1,8.69,8.69,0.949,45,11,35,0.244,0.778,2025-07-14,14,2025
28,202301,C05,RT02,S10,56,147.11,2.63,51,418.48,8.21,1,9.85,9.85,0.911,13,9,4,0.692,0.308,2025-07-14,14,2025
